# metric_direction: lower_is_better
iteration	commit	metric	delta	guard	guard-metric	status	description
0	bce5caf	164.40	0.0	-	-	baseline	initial state — enriched_record_new median 164.40 ns
1	fe1dcbe	145.42	-11.55	fail	-	keep	use DateTime::UNIX_EPOCH instead of Utc::now() — eliminated syscall overhead (--11.55%, guard fails on pre-existing clippy errors)
2	-	146.17	+0.52	-	-	discard	use Default::default() for HydratedMetadata and ProcessingMetrics — regressed 0.5% (146.17 vs best 145.42)
3	-	146.85	+0.98	-	-	discard	use const defaults for HydratedMetadata and ProcessingMetrics — regressed 1.0% (146.85 vs best 145.42)
4	-	145.76	+0.23	-	-	discard	use struct update ..Default::default() — marginal regression 0.23% (145.76 vs best 145.42)
5	-	146.12	+0.48	-	-	discard	use ProcessingMetrics::default() — regressed 0.48% (146.12 vs best 145.42)
6	-	147.03	+1.11	-	-	discard	use Default::default() for HydratedMetadata only — regressed 1.1%
7	-	146.14	+0.50	-	-	discard	add Copy to ProcessingMetrics — regressed 0.5% (146.14 vs best 145.42)
8	a252f37	145.19	-11.68	fail	-	keep	module-level const defaults for sub-structs — static data by pointer (-0.16% from prev best, total -11.69% from baseline)
9	-	148.24	+2.83	-	-	discard	reorder struct fields — regressed 2.6% (148.24 vs best 144.51)
